customer_id,customer_name,email,city,registration_date,segment,rfm_segment,recency_days,frequency,monetary,rfm_score,lifetime_value,avg_order_value,last_purchase_date
CUST10090,Кузнецов Иван,customer90@example.com,Екатеринбург,2023-12-20,Loyal Customers,R4F5M1,36,18,200.5,451,517.3,11.14,2025-12-17 13:25:23.613598
CUST10091,Михайлов Сергей,customer91@example.com,Самара,2023-05-16,Loyal Customers,R3F3M5,72,8,6937.03,335,18656.45,867.13,2025-11-11 13:25:23.613598
CUST10092,Кузнецов Дмитрий,customer92@example.com,Ростов-на-Дону,2022-04-06,Loyal Customers,R4F3M4,38,8,4103.57,434,8426.81,512.95,2025-12-15 13:25:23.613598
CUST10093,Андреев Дмитрий,customer93@example.com,Нижний Новгород,2023-07-21,Loyal Customers,R3F4M4,68,12,4312.49,344,11015.31,359.37,2025-11-15 13:25:23.613598
CUST10094,Андреев Алексей,customer94@example.com,Нижний Новгород,2022-10-05,Loyal Customers,R4F3M4,40,9,2382.33,434,4000.72,264.7,2025-12-13 13:25:23.613598
CUST10095,Андреев Сергей,customer95@example.com,Казань,2023-07-03,Loyal Customers,R3F3M3,89,6,1996.26,333,5164.07,332.71,2025-10-25 13:25:23.613598
CUST10096,Кузнецов Дмитрий,customer96@example.com,Екатеринбург,2023-06-22,Loyal Customers,R3F4M5,77,10,9807.06,345,20019.35,980.71,2025-11-06 13:25:23.613598
CUST10097,Иванов Иван,customer97@example.com,Омск,2022-11-06,Loyal Customers,R5F5M3,2,18,1353.17,553,2622.72,75.18,2026-01-20 13:25:23.613598
CUST10098,Иванов Дмитрий,customer98@example.com,Самара,2022-05-10,Loyal Customers,R3F5M3,82,16,1115.62,353,2474.52,69.73,2025-11-01 13:25:23.613598
CUST10099,Алексеев Иван,customer99@example.com,Санкт-Петербург,2022-12-15,Potential Loyalists,R5F2M4,24,2,2599.54,524,5461.78,1299.77,2025-12-29 13:25:23.613598
CUST10100,Федоров Дмитрий,customer100@example.com,Санкт-Петербург,2022-03-17,Potential Loyalists,R3F2M3,74,2,1602.1,323,4791.68,801.05,2025-11-09 13:25:23.613598
CUST10101,Федоров Алексей,customer101@example.com,Омск,2022-05-02,Loyal Customers,R3F4M5,72,14,6102.54,345,12635.73,435.9,2025-11-11 13:25:23.613598
CUST10102,Смирнов Иван,customer102@example.com,Ростов-на-Дону,2023-03-30,Champions,R4F5M5,39,19,9901.31,455,29111.47,521.12,2025-12-14 13:25:23.613598
CUST10103,Петров Алексей,customer103@example.com,Екатеринбург,2022-04-12,Loyal Customers,R5F3M4,27,7,2720.0,534,4789.15,388.57,2025-12-26 13:25:23.613598
CUST10104,Андреев Сергей,customer104@example.com,Казань,2022-03-18,Potential Loyalists,R5F1M4,21,1,4144.32,514,6419.39,4144.32,2026-01-01 13:25:23.613598
CUST10105,Кузнецов Дмитрий,customer105@example.com,Ростов-на-Дону,2022-10-23,Loyal Customers,R4F5M2,37,15,804.68,452,2005.08,53.65,2025-12-16 13:25:23.613598
CUST10106,Михайлов Алексей,customer106@example.com,Казань,2022-07-22,Potential Loyalists,R4F2M5,55,4,5491.17,425,15045.51,1372.79,2025-11-28 13:25:23.613598
CUST10107,Сергеев Дмитрий,customer107@example.com,Самара,2022-03-15,Loyal Customers,R5F3M5,8,6,7947.02,535,13402.9,1324.5,2026-01-14 13:25:23.613598
CUST10108,Николаев Сергей,customer108@example.com,Самара,2023-12-07,Champions,R4F4M5,39,13,9432.49,445,15286.89,725.58,2025-12-14 13:25:23.613598
CUST10109,Иванов Иван,customer109@example.com,Екатеринбург,2022-02-10,Champions,R4F4M5,56,11,6076.77,445,17883.11,552.43,2025-11-27 13:25:23.613598
CUST10110,Михайлов Дмитрий,customer110@example.com,Ростов-на-Дону,2023-08-13,Potential Loyalists,R3F1M5,76,1,9995.77,315,15596.87,9995.77,2025-11-07 13:25:23.613598
CUST10111,Смирнов Алексей,customer111@example.com,Ростов-на-Дону,2022-06-29,Loyal Customers,R3F5M5,61,17,6549.94,355,14107.45,385.29,2025-11-22 13:25:23.613598
CUST10112,Попов Дмитрий,customer112@example.com,Санкт-Петербург,2023-05-19,Champions,R5F5M4,12,16,3544.81,554,9877.98,221.55,2026-01-10 13:25:23.613598
CUST10113,Васильев Иван,customer113@example.com,Самара,2022-12-04,Champions,R4F5M4,53,16,2953.36,454,4820.14,184.58,2025-11-30 13:25:23.613598
CUST10114,Васильев Иван,customer114@example.com,Омск,2022-09-16,Potential Loyalists,R4F2M5,42,4,9704.83,425,21282.35,2426.21,2025-12-11 13:25:23.613598
CUST10115,Федоров Сергей,customer115@example.com,Самара,2022-02-25,Champions,R5F5M4,25,17,3681.62,554,9719.41,216.57,2025-12-28 13:25:23.613598
CUST10116,Смирнов Сергей,customer116@example.com,Самара,2022-07-28,Loyal Customers,R4F5M3,35,18,1397.03,453,2350.0,77.61,2025-12-18 13:25:23.613598
CUST10117,Смирнов Иван,customer117@example.com,Омск,2023-10-08,Loyal Customers,R3F3M5,78,8,7126.85,335,15051.81,890.86,2025-11-05 13:25:23.613598
CUST10118,Михайлов Алексей,customer118@example.com,Самара,2022-08-19,Champions,R5F5M5,15,15,9475.9,555,27470.44,631.73,2026-01-07 13:25:23.613598
CUST10119,Алексеев Сергей,customer119@example.com,Екатеринбург,2022-10-26,Loyal Customers,R3F3M4,66,9,4213.35,334,9206.94,468.15,2025-11-17 13:25:23.613598
CUST10120,Николаев Алексей,customer120@example.com,Санкт-Петербург,2022-05-29,Loyal Customers,R4F3M5,50,7,9226.49,435,17662.93,1318.07,2025-12-03 13:25:23.613598
CUST10121,Иванов Дмитрий,customer121@example.com,Казань,2023-03-01,Champions,R4F5M4,44,17,2745.01,454,7565.83,161.47,2025-12-09 13:25:23.613598
CUST10122,Алексеев Сергей,customer122@example.com,Нижний Новгород,2023-08-17,Loyal Customers,R3F5M5,85,16,8666.08,355,17320.55,541.63,2025-10-29 13:25:23.613598
CUST10123,Кузнецов Алексей,customer123@example.com,Ростов-на-Дону,2023-07-11,Champions,R4F5M5,49,15,9335.24,455,19365.54,622.35,2025-12-04 13:25:23.613598
CUST10124,Андреев Сергей,customer124@example.com,Челябинск,2023-02-25,Champions,R5F4M5,6,11,7472.58,545,22287.88,679.33,2026-01-16 13:25:23.613598
CUST10125,Сидоров Дмитрий,customer125@example.com,Санкт-Петербург,2023-10-30,Champions,R5F5M5,20,16,9651.76,555,27133.86,603.24,2026-01-02 13:25:23.613598
CUST10126,Иванов Алексей,customer126@example.com,Челябинск,2023-03-27,Champions,R5F5M5,13,17,9113.37,555,25575.76,536.08,2026-01-09 13:25:23.613598
CUST10127,Смирнов Дмитрий,customer127@example.com,Ростов-на-Дону,2022-06-08,Champions,R5F5M5,10,16,7837.1,555,19898.84,489.82,2026-01-12 13:25:23.613598
CUST10128,Николаев Сергей,customer128@example.com,Нижний Новгород,2023-10-28,Champions,R5F4M5,11,11,8538.18,545,20834.85,776.2,2026-01-11 13:25:23.613598
CUST10129,Кузнецов Дмитрий,customer129@example.com,Екатеринбург,2023-05-15,Potential Loyalists,R3F2M5,70,2,6212.85,325,16278.59,3106.42,2025-11-13 13:25:23.613598
CUST10130,Андреев Дмитрий,customer130@example.com,Москва,2023-03-21,Potential Loyalists,R5F2M4,13,4,4492.42,524,7048.54,1123.1,2026-01-09 13:25:23.613598
CUST10131,Сидоров Алексей,customer131@example.com,Омск,2022-02-27,Champions,R4F4M4,38,12,3810.93,444,8071.84,317.58,2025-12-15 13:25:23.613598
CUST10132,Сергеев Сергей,customer132@example.com,Ростов-на-Дону,2023-11-30,Loyal Customers,R5F3M3,24,6,1833.19,533,4628.25,305.53,2025-12-29 13:25:23.613598
CUST10133,Михайлов Дмитрий,customer133@example.com,Самара,2023-05-25,Loyal Customers,R3F3M4,75,5,2398.67,334,4516.66,479.73,2025-11-08 13:25:23.613598
CUST10134,Сидоров Иван,customer134@example.com,Самара,2022-01-10,Champions,R4F4M5,60,10,6808.35,445,19865.76,680.83,2025-11-23 13:25:23.613598
CUST10135,Алексеев Дмитрий,customer135@example.com,Екатеринбург,2023-08-25,Champions,R4F4M5,39,14,6934.1,445,20795.8,495.29,2025-12-14 13:25:23.613598
CUST10136,Попов Дмитрий,customer136@example.com,Казань,2023-05-10,Loyal Customers,R5F3M4,14,8,3875.51,534,5940.8,484.44,2026-01-08 13:25:23.613598
CUST10137,Михайлов Иван,customer137@example.com,Ростов-на-Дону,2023-11-06,Loyal Customers,R4F3M1,51,9,180.17,431,471.64,20.02,2025-12-02 13:25:23.613598
CUST10138,Кузнецов Алексей,customer138@example.com,Ростов-на-Дону,2022-10-21,Champions,R5F5M5,30,20,8039.13,555,15080.92,401.96,2025-12-23 13:25:23.613598
CUST10139,Михайлов Иван,customer139@example.com,Казань,2023-11-07,Loyal Customers,R3F3M5,88,5,6319.66,335,16955.11,1263.93,2025-10-26 13:25:23.613598
CUST10140,Петров Дмитрий,customer140@example.com,Нижний Новгород,2022-02-04,Loyal Customers,R3F4M5,75,12,7350.36,345,19266.92,612.53,2025-11-08 13:25:23.613598
CUST10141,Попов Дмитрий,customer141@example.com,Новосибирск,2022-06-29,Loyal Customers,R5F3M5,26,5,7886.48,535,14869.6,1577.3,2025-12-27 13:25:23.613598
CUST10142,Алексеев Иван,customer142@example.com,Новосибирск,2023-05-09,Champions,R4F4M5,38,11,8061.9,445,21212.7,732.9,2025-12-15 13:25:23.613598
CUST10143,Федоров Дмитрий,customer143@example.com,Санкт-Петербург,2022-08-20,Loyal Customers,R3F4M5,87,13,9675.97,345,25989.88,744.31,2025-10-27 13:25:23.613598
CUST10144,Попов Дмитрий,customer144@example.com,Ростов-на-Дону,2022-01-15,Loyal Customers,R4F5M3,34,18,1323.53,453,2741.74,73.53,2025-12-19 13:25:23.613598
CUST10145,Алексеев Иван,customer145@example.com,Ростов-на-Дону,2023-10-16,Potential Loyalists,R4F2M5,48,4,6780.88,425,19165.16,1695.22,2025-12-05 13:25:23.613598
CUST10146,Петров Сергей,customer146@example.com,Казань,2023-07-29,Champions,R4F5M4,42,20,2291.54,454,5668.94,114.58,2025-12-11 13:25:23.613598
CUST10147,Смирнов Сергей,customer147@example.com,Санкт-Петербург,2022-04-30,Potential Loyalists,R5F2M5,18,2,9467.99,525,15582.3,4733.99,2026-01-04 13:25:23.613598
CUST10148,Михайлов Сергей,customer148@example.com,Ростов-на-Дону,2023-07-05,Champions,R5F4M4,18,13,4591.07,544,11998.33,353.16,2026-01-04 13:25:23.613598
CUST10149,Сергеев Сергей,customer149@example.com,Казань,2022-06-08,Potential Loyalists,R4F2M5,54,4,8353.56,425,12940.29,2088.39,2025-11-29 13:25:23.613598
CUST10150,Кузнецов Дмитрий,customer150@example.com,Санкт-Петербург,2023-01-15,Champions,R5F5M4,28,15,4502.49,554,13378.66,300.17,2025-12-25 13:25:23.613598
CUST10151,Смирнов Алексей,customer151@example.com,Санкт-Петербург,2023-01-12,Loyal Customers,R3F4M2,70,12,699.45,342,2044.84,58.29,2025-11-13 13:25:23.613598
CUST10152,Сергеев Иван,customer152@example.com,Москва,2023-04-11,Loyal Customers,R5F3M5,12,7,6452.87,535,17294.94,921.84,2026-01-10 13:25:23.613598
CUST10153,Федоров Алексей,customer153@example.com,Ростов-на-Дону,2022-09-07,Champions,R5F5M4,17,19,2131.54,554,3887.76,112.19,2026-01-05 13:25:23.613598
CUST10154,Сергеев Иван,customer154@example.com,Казань,2022-08-27,Loyal Customers,R4F3M5,43,5,7907.57,435,22043.22,1581.51,2025-12-10 13:25:23.613598
CUST10155,Сидоров Иван,customer155@example.com,Москва,2022-05-29,Champions,R5F5M4,17,18,2581.48,554,4382.59,143.42,2026-01-05 13:25:23.613598
CUST10156,Сидоров Дмитрий,customer156@example.com,Москва,2023-01-02,Champions,R4F5M4,31,19,3305.34,454,5586.48,173.97,2025-12-22 13:25:23.613598
CUST10157,Алексеев Сергей,customer157@example.com,Нижний Новгород,2023-03-08,Potential Loyalists,R3F2M5,68,4,7482.09,325,16983.27,1870.52,2025-11-15 13:25:23.613598
